offer_id,layout,apartment_type,total_area,living_area,kitchen_area,ceiling_height,bathroom,balcony,sleeping_places,renovation,view
314317233,,Апартаменты,15 м²,,,,1 совмещенный,,,Дизайнерский,Во двор
314199354,,Апартаменты,20 м²,10 м²,6 м²,3 м,1 совмещенный,,,Дизайнерский,На улицу
314152463,,,33 м²,"20,8 м²","5,5 м²","2,8 м",1 совмещенный,1 балкон,,Косметический,Во двор
314094610,,,"39,7 м²",19 м²,10 м²,,1 раздельный,1 балкон,,Евроремонт,На улицу и двор
314088314,,,30 м²,,,,1 совмещенный,1 балкон,,Дизайнерский,На улицу
314064240,,,30 м²,,,,1 совмещенный,1 балкон,,Дизайнерский,На улицу
314011077,,,47 м²,,,"2,7 м",,,,Косметический,На улицу
313918082,,,40 м²,20 м²,10 м²,"2,64 м",1 совмещенный,,,Косметический,Во двор
313864937,,,"31,9 м²",20 м²,6 м²,"2,7 м",1 совмещенный,1 балкон,,Евроремонт,На улицу
313729695,,,"48,3 м²",30 м²,8 м²,,1 раздельный,1 балкон,,Евроремонт,На улицу
313689777,,,33 м²,19 м²,9 м²,,1 совмещенный,1 лоджия,,Косметический,
313492003,,,45 м²,27 м²,7 м²,,1 раздельный,,,Косметический,
313445775,,,35 м²,28 м²,5 м²,"2,8 м","1 совмещенный, 1 раздельный",1 лоджия,,Дизайнерский,На улицу и двор
313423014,,,"61,1 м²",34 м²,8 м²,"2,75 м",1 раздельный,,,Косметический,Во двор
313038215,,,30 м²,,,,1 совмещенный,1 балкон,,Евроремонт,На улицу
312685160,,,"30,5 м²",18 м²,6 м²,,1 совмещенный,1 балкон,,Евроремонт,Во двор
312677059,,,31 м²,20 м²,6 м²,,1 совмещенный,,,Косметический,Во двор
312673761,,,53 м²,25 м²,9 м²,,1 раздельный,1 балкон,,Косметический,На улицу и двор
312246667,,,46 м²,28 м²,8 м²,,1 совмещенный,1 балкон,,Косметический,Во двор
312195522,,,48 м²,38 м²,7 м²,,1 совмещенный,1 балкон,,Дизайнерский,На улицу
311665244,,,"32,8 м²","16,5 м²",9 м²,"2,4 м",1 раздельный,1 лоджия,,Дизайнерский,Во двор
311659644,,,"32,8 м²","16,5 м²",9 м²,,1 раздельный,1 лоджия,,Дизайнерский,Во двор
310792342,,,55 м²,"36,5 м²",6 м²,,1 совмещенный,1 балкон,,Косметический,На улицу
310783742,,,"32,8 м²","16,5 м²",9 м²,"2,4 м",1 раздельный,1 лоджия,,Косметический,Во двор
310778746,Изолированная,,45 м²,30 м²,10 м²,,1 совмещенный,,,Косметический,На улицу и двор
310660324,,,53 м²,26 м²,17 м²,,1 раздельный,1 лоджия,,Евроремонт,На улицу
310193855,,,"33,2 м²","17,4 м²",9 м²,,1 раздельный,1 балкон,,Евроремонт,Во двор
309980505,,,"30,4 м²",20 м²,7 м²,"2,5 м",1 совмещенный,1 балкон,,Косметический,Во двор
308782939,,,42 м²,19 м²,10 м²,"3,2 м",1 раздельный,1 балкон,,Евроремонт,На улицу и двор
308110692,,,33 м²,17 м²,"7,5 м²","2,7 м",1 раздельный,,,Косметический,На улицу
305603631,,,48 м²,32 м²,4 м²,,1 совмещенный,1 балкон,,Без ремонта,Во двор
303814497,,,60 м²,36 м²,6 м²,3 м,1 раздельный,,,Евроремонт,Во двор
303112257,,,68 м²,34 м²,12 м²,"2,64 м",1 совмещенный,1 лоджия,,Дизайнерский,Во двор
300772703,,,45 м²,34 м²,6 м²,"2,64 м",1 совмещенный,1 балкон,,Евроремонт,Во двор
300553496,,,35 м²,19 м²,10 м²,,,,,,
298970024,,,33 м²,20 м²,7 м²,"2,8 м",1 совмещенный,1 балкон,,Евроремонт,Во двор
295252797,,,"29,2 м²",,,,1 совмещенный,,,Евроремонт,Во двор
294961642,,,45 м²,,7 м²,,,1 лоджия,,Дизайнерский,
294401225,,,25 м²,,,3 м,1 совмещенный,,,Евроремонт,Во двор
289350318,,,31 м²,,,3 м,1 раздельный,,,Евроремонт,На улицу
288005740,,,52 м²,,7 м²,3 м,1 раздельный,,,Евроремонт,Во двор
287535562,,Апартаменты,23 м²,23 м²,,4 м,,,,Евроремонт,На улицу и двор
284081870,,,45 м²,35 м²,8 м²,,1 раздельный,,,Косметический,Во двор
279286265,,,30 м²,18 м²,7 м²,,1 совмещенный,,,Косметический,Во двор
274598446,,,33 м²,20 м²,6 м²,"2,5 м",1 совмещенный,,,Евроремонт,На улицу
273448248,,,"25,2 м²",,,4 м,1 совмещенный,,,Евроремонт,На улицу
273115276,,,52 м²,35 м²,8 м²,3 м,1 совмещенный,,,Евроремонт,Во двор
272600208,,,11 м²,7 м²,2 м²,,,,,Косметический,
272591317,,,35 м²,20 м²,8 м²,,,1 балкон,,Евроремонт,Во двор
271159992,,,30 м²,15 м²,13 м²,,,,,Евроремонт,Во двор
265122740,,,44 м²,27 м²,6 м²,,1 совмещенный,1 балкон,,Косметический,Во двор
262726424,,,38 м²,18 м²,"7,5 м²",,1 совмещенный,1 балкон,,Косметический,Во двор
241302321,,,65 м²,45 м²,10 м²,,1 раздельный,1 лоджия,,Косметический,Во двор
232917973,,,57 м²,37 м²,8 м²,,1 совмещенный,,,Евроремонт,Во двор
222723163,,,42 м²,28 м²,6 м²,"2,64 м",1 раздельный,1 балкон,,Косметический,Во двор
205467120,,,45 м²,33 м²,9 м²,,1 раздельный,1 балкон,,Дизайнерский,Во двор
199570370,,,65 м²,32 м²,7 м²,"3,1 м",1 раздельный,1 балкон,,Косметический,Во двор
192845340,,,60 м²,38 м²,10 м²,"3,2 м",1 раздельный,,,Косметический,Во двор
184978796,,,33 м²,19 м²,7 м²,"2,8 м",1 совмещенный,1 балкон,,Евроремонт,На улицу
166163447,,,35 м²,19 м²,10 м²,"2,7 м",1 раздельный,1 лоджия,,Евроремонт,Во двор
164777045,,,55 м²,37 м²,10 м²,,1 совмещенный,,,Косметический,Во двор
164708200,,,34 м²,21 м²,6 м²,,1 раздельный,,,Косметический,На улицу
162193182,,,50 м²,30 м²,"7,5 м²","2,8 м",1 раздельный,1 лоджия,,Дизайнерский,На улицу
161928651,,,53 м²,33 м²,8 м²,,1 раздельный,1 балкон,,Косметический,Во двор
