offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
305903609,20 сен 2024,2024-09-20 00:00:00,2 500 ₽/мес.,2500,200 ₽,-200,False
305903609,15 сен 2024,2024-09-15 00:00:00,2 700 ₽/мес.,2700,200 ₽,+200,True
305903609,13 сен 2024,2024-09-13 00:00:00,2 500 ₽/мес.,2500,200 ₽,-200,False
305903609,8 сен 2024,2024-09-08 00:00:00,2 700 ₽/мес.,2700,200 ₽,+200,True
305903609,6 сен 2024,2024-09-06 00:00:00,2 500 ₽/мес.,2500,300 ₽,-300,False
305903609,5 сен 2024,2024-09-05 00:00:00,2 800 ₽/мес.,2800,200 ₽,-200,False
305903609,19 авг 2024,2024-08-19 00:00:00,3 000 ₽/мес.,3000,500 ₽,+500,True
305903609,13 авг 2024,2024-08-13 00:00:00,2 500 ₽/мес.,2500,,,False
305603631,9 апр 2025,2025-04-09 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
305603631,2 апр 2025,2025-04-02 00:00:00,110 000 ₽/мес.,110000,10 000 ₽,+10000,True
305603631,2 сен 2024,2024-09-02 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
305603631,5 авг 2024,2024-08-05 00:00:00,110 000 ₽/мес.,110000,,,False
304830595,9 апр 2025,2025-04-09 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
304830595,19 мар 2025,2025-03-19 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
304830595,14 мар 2025,2025-03-14 00:00:00,100 000 ₽/мес.,100000,5 000 ₽,+5000,True
304830595,18 фев 2025,2025-02-18 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,-5000,False
304830595,10 фев 2025,2025-02-10 00:00:00,100 000 ₽/мес.,100000,15 000 ₽,-15000,False
304830595,26 авг 2024,2024-08-26 00:00:00,115 000 ₽/мес.,115000,15 000 ₽,-15000,False
304830595,18 июл 2024,2024-07-18 00:00:00,130 000 ₽/мес.,130000,,,False
303814497,23 мар 2025,2025-03-23 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
303814497,21 июл 2024,2024-07-21 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
303814497,15 июл 2024,2024-07-15 00:00:00,100 000 ₽/мес.,100000,15 000 ₽,-15000,False
303814497,30 июн 2024,2024-06-30 00:00:00,115 000 ₽/мес.,115000,10 000 ₽,-10000,False
303814497,25 июн 2024,2024-06-25 00:00:00,125 000 ₽/мес.,125000,,,False
303300074,4 апр 2025,2025-04-04 00:00:00,40 000 ₽/мес.,40000,5 000 ₽,+5000,True
303300074,19 июн 2024,2024-06-19 00:00:00,35 000 ₽/мес.,35000,5 000 ₽,-5000,False
303300074,13 июн 2024,2024-06-13 00:00:00,40 000 ₽/мес.,40000,5 000 ₽,-5000,False
303300074,12 июн 2024,2024-06-12 00:00:00,45 000 ₽/мес.,45000,,,False
303112257,4 апр 2025,2025-04-04 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
303112257,18 мар 2025,2025-03-18 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,+5000,True
303112257,7 июн 2024,2024-06-07 00:00:00,80 000 ₽/мес.,80000,,,False
303110798,6 апр 2025,2025-04-06 00:00:00,56 000 ₽/мес.,56000,2 000 ₽,-2000,False
303110798,2 апр 2025,2025-04-02 00:00:00,58 000 ₽/мес.,58000,2 000 ₽,-2000,False
303110798,26 мар 2025,2025-03-26 00:00:00,60 000 ₽/мес.,60000,5 000 ₽,-5000,False
303110798,23 мар 2025,2025-03-23 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,-5000,False
303110798,16 мар 2025,2025-03-16 00:00:00,70 000 ₽/мес.,70000,20 000 ₽,+20000,True
303110798,24 июн 2024,2024-06-24 00:00:00,50 000 ₽/мес.,50000,5 000 ₽,-5000,False
303110798,11 июн 2024,2024-06-11 00:00:00,55 000 ₽/мес.,55000,5 000 ₽,-5000,False
303110798,7 июн 2024,2024-06-07 00:00:00,60 000 ₽/мес.,60000,,,False
300788716,7 мар 2025,2025-03-07 00:00:00,80 000 ₽/мес.,80000,10 000 ₽,+10000,True
300788716,14 апр 2024,2024-04-14 00:00:00,70 000 ₽/мес.,70000,,,False
300772703,20 апр 2024,2024-04-20 00:00:00,95 000 ₽/мес.,95000,20 000 ₽,-20000,False
300772703,13 апр 2024,2024-04-13 00:00:00,115 000 ₽/мес.,115000,,,False
300553496,20 мар 2025,2025-03-20 00:00:00,63 000 ₽/мес.,63000,2 000 ₽,-2000,False
300553496,17 мар 2025,2025-03-17 00:00:00,65 000 ₽/мес.,65000,3 000 ₽,+3000,True
300553496,12 мар 2025,2025-03-12 00:00:00,62 000 ₽/мес.,62000,6 000 ₽,+6000,True
300553496,8 апр 2024,2024-04-08 00:00:00,56 000 ₽/мес.,56000,,,False
300008246,23 мар 2025,2025-03-23 00:00:00,67 000 ₽/мес.,67000,3 000 ₽,-3000,False
300008246,20 мар 2025,2025-03-20 00:00:00,70 000 ₽/мес.,70000,5 000 ₽,-5000,False
300008246,18 мар 2025,2025-03-18 00:00:00,75 000 ₽/мес.,75000,10 000 ₽,+10000,True
300008246,14 апр 2024,2024-04-14 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,-5000,False
300008246,25 мар 2024,2024-03-25 00:00:00,70 000 ₽/мес.,70000,,,False
299794333,3 мар 2025,2025-03-03 00:00:00,70 000 ₽/мес.,70000,5 000 ₽,-5000,False
299794333,27 фев 2025,2025-02-27 00:00:00,75 000 ₽/мес.,75000,10 000 ₽,+10000,True
299794333,19 мар 2024,2024-03-19 00:00:00,65 000 ₽/мес.,65000,,,False
299570023,18 мар 2025,2025-03-18 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
299570023,3 мар 2025,2025-03-03 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
299570023,17 фев 2025,2025-02-17 00:00:00,95 000 ₽/мес.,95000,15 000 ₽,+15000,True
299570023,13 мар 2024,2024-03-13 00:00:00,80 000 ₽/мес.,80000,,,False
299140598,3 апр 2025,2025-04-03 00:00:00,70 000 ₽/мес.,70000,5 000 ₽,+5000,True
299140598,7 мар 2024,2024-03-07 00:00:00,65 000 ₽/мес.,65000,1 000 ₽,+1000,True
299140598,5 мар 2024,2024-03-05 00:00:00,64 000 ₽/мес.,64000,2 000 ₽,-2000,False
299140598,3 мар 2024,2024-03-03 00:00:00,66 000 ₽/мес.,66000,1 000 ₽,+1000,True
299140598,1 мар 2024,2024-03-01 00:00:00,65 000 ₽/мес.,65000,,,False
298970024,1 апр 2025,2025-04-01 00:00:00,80 000 ₽/мес.,80000,10 000 ₽,+10000,True
298970024,10 мая 2024,2024-05-10 00:00:00,70 000 ₽/мес.,70000,5 000 ₽,-5000,False
298970024,26 фев 2024,2024-02-26 00:00:00,75 000 ₽/мес.,75000,,,False
297247694,Сегодня,2025-04-11 00:00:00,100 000 ₽/мес.,100000,15 000 ₽,+15000,True
297247694,18 фев 2024,2024-02-18 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
297247694,15 янв 2024,2024-01-15 00:00:00,90 000 ₽/мес.,90000,,,False
295252797,23 мар 2025,2025-03-23 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
